Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata
apprehensive,-1.553077,1.401337,-.3476241,.3693343,-.9199808,432
paranoid,-.838286,.0072689,.3343578,-1.888139,-.882139,243
devour,-1.417629,-1.040124,.552866,.0264236,.1453242,134
statehood,-1.691946,.0761118,-.3069584,-2.222802,-1.797176,331
contour,-.8396896,-.6387368,-.2875935,-.6492542,.49198,144
oxygenate,-3.412103,.7613586,-.3207399,-3.146927,-2.230574,300
untimely,-1.853285,-.1344692,-.2843869,-.1199215,-.1359382,234
angelical,-4.973987,-.1662222,1.019376,-3.979936,-1.82298,301
siege,-.5419837,-1.78505,1.239999,-.7168975,-1.067807,042
contemporary,.6645453,2.013484,-.387832,.1289014,-.0122284,444
trine,-4.780196,-.1724317,-.2784304,-3.144105,-1.69938,001
screenwriting,-3.335543,.0088337,-.2663403,-3.00046,-.7885058,403
glum,-2.116667,-1.780383,2.513456,-.7567016,-.9341298,022
cosmology,-1.528409,.7309643,-.3320014,-2.593815,-.9160886,332
treble,-2.01633,-1.142134,-.1815047,-2.375703,.9989263,124
sexist,-1.278107,-.6224006,-.0820399,-2.145349,-.9234133,132
protrusion,-2.84198,.4754592,-.3133189,-3.840043,-.8618653,413
larval,-2.038965,-1.004505,.4106637,-3.3829,-1.021612,122
absurd,-.1334749,-.9263159,-.2754703,.4164384,-.3361808,143
fusspot,-4.24082,1.620153,-.3567792,-2.802145,-1.73809,101
bighorn,-2.40713,3.302235,-.4146619,-2.833734,-1.674731,121
smoggy,-2.999346,-.157974,-.2682473,-2.363709,-2.055606,110
cock,-.5119214,-2.303277,7.887374,-1.025781,1.550397,044
flatfoot,-3.907021,-.0142465,-.2466592,-2.541116,-1.381254,202
camion,-4.548708,.1059327,-.2961998,-4.234703,-1.921082,100
tote,-1.679982,-2.098066,7.476485,-2.800555,-.8013961,033
chairman,.4187821,-.3334876,-.1185334,-.0318574,-1.19092,242
heroin,-.4604918,-.9643142,.3169467,-3.16364,-1.678611,141
quibble,-2.030469,-.8805003,-.2639649,-1.013784,-.4315458,123
opulence,-2.370982,.0758059,-.2760898,-1.408294,-1.456144,222
perkiness,-3.870484,-1.010304,2.112375,-3.277862,-.8251265,303
adaptive,-1.08948,-1.026734,-.2540803,-1.154867,-1.635638,241
scrubwoman,-4.783625,1.176652,-.3063683,-1.54872,-1.224812,402
indelicate,-3.206829,.7014925,-.2993673,-2.416498,-.9593362,412
illusionist,-2.852269,.9532502,-.3273052,-4.083019,-1.594017,411
codebook,-3.736362,-1.861369,11.84046,-4.030724,.0566769,204
misspent,-3.050382,.126407,-.2478219,-2.660616,-1.400047,212
maintain,1.227385,-.5349261,-.2935206,1.317452,1.158138,244
awestruck,-2.298928,.0126129,-.3167499,-1.195763,-2.070365,320
oxbow,-3.584527,.3465736,3.936143,-4.413981,-.7762958,003
warden,-.7961257,-1.150146,.6258562,-1.023279,-1.124425,142
sandstone,-1.546938,.2602098,-.3105811,-2.054074,-1.921051,330
shallows,-2.393662,-.6690828,-.233838,-1.003582,-.1288913,224
samarium,-4.881928,.6595696,-.3002333,-4.672986,-2.054909,200
phosphorescent,-2.686379,2.129241,-.3576476,-1.421068,-2.32178,410
privy,-1.381842,-1.287394,-.1753679,-.9818732,-.1097499,034
bile,-1.22528,-2.105425,9.976698,-2.910171,-1.16453,032
frontage,-2.41435,-.2178272,-.2787552,-3.060307,-.4610342,223
twain,-1.344256,.5495127,-.2780019,-.1242228,-1.531244,031
mediator,-1.396424,.1506812,-.3077348,-.7793695,-1.792081,231
alternator,-1.969198,.7159982,-.308192,-5.039284,-1.872191,420
jag,-4.121452,-2.194596,12.20553,-2.702574,.1581805,004
divvy,-3.026378,-1.386676,-.0276288,-3.56737,-1.5388,011
wormhole,-2.118541,-.1642328,-.2941111,-2.258543,-1.735162,221
carefree,-1.356995,-.1878011,-.2708315,.5346318,-1.257787,232
readership,-1.804208,.4270142,.3125823,-2.444997,-1.973892,430
boathouse,-2.040929,-.2877038,-.2676466,-2.28964,-1.670868,321
ravishing,-2.368639,-.0906185,.3565619,-1.276878,-.6759325,323
furl,-3.636418,-2.000431,4.447517,-1.876068,-1.202444,002
proportionate,-1.646377,1.445199,-.3325581,.2736602,-.444317,433
thoroughly,.4431517,.1368884,-.3255941,1.278632,-.5795439,443
buttonhook,-4.939497,.6354725,-.3059515,-2.975148,-2.28158,400
fantastical,-2.20089,2.322417,-.3862959,-1.015232,-1.182196,422
grueling,-1.636696,.5234454,-.3157672,-1.147405,-2.099267,230
dustman,-4.305998,-.1874572,-.2606076,-.7596401,-1.444143,102
gumbo,-1.924482,-1.130899,.3842512,-3.98806,-.2290304,024
urbane,-2.32314,-1.097759,.1370928,-.7731333,-1.99813,120
lonesomeness,-4.521638,-1.353377,-.1599735,-1.475298,-1.621555,401
blacklist,-2.765678,.2214148,-.2954076,-2.098833,-1.024977,312
electro,-2.655002,-.8660825,-.2422855,-4.001495,-1.115592,112
reassert,-2.339967,-.2306108,-.2909012,-.5672077,-2.021103,220
shilling,-3.122968,-1.072482,2.026552,-.4054395,.1145832,214
tabernacle,-1.989739,.8930887,-.3459444,-2.477046,-.4957917,423
guardroom,-4.688178,.0422123,-.278569,-2.972898,-1.398705,302
conscientious,-1.02028,1.761532,-.3706363,.6716223,-.9545029,442
dethrone,-2.945288,-.2016697,-.2941294,-.866191,-1.885605,210
uncivilized,-1.973217,1.286326,-.142992,-.9481837,-1.708593,421
fatality,-1.753395,.0880797,-.2953181,-1.673229,-.5055435,233
horticultural,-1.854432,-.733607,-.2615549,-1.926352,-1.680624,431
drowse,-3.840909,-1.492648,.7679921,-2.217261,-.2653406,104
uppercut,-2.617467,.0205717,-.2992243,-3.517523,-1.594432,211
respiratory,-.3473022,1.51974,-.1570998,-1.827666,-1.921657,440
fanatic,-1.133706,-.4188486,-.267471,-.4017448,-.7578316,133
qualified,.424071,.075605,.9642596,.3370613,1.049781,344
tsar,-2.026294,-1.858747,.8932672,-3.347771,-1.817312,021
gnash,-3.194531,-1.822936,.1594612,-2.311918,-1.135699,012
fairlead,-4.674968,-1.242953,-.1886946,-2.15169,-1.80564,201
mousy,-2.649824,-1.435003,.8944609,-1.124418,-.3272649,013
shiftless,-2.597505,-.1079961,-.2794365,-.3383114,-1.748387,311
cockeyed,-2.758297,-.5479032,-.0406787,-1.814664,-.7675999,213
supposition,-1.699127,.6552618,-.3182517,-.8405313,-.2066811,434
predictor,-1.421664,.088024,-.2762795,-2.082128,-.7265473,333
womenfolk,-2.933618,.6639673,-.3243163,-2.129437,-2.149717,310
connive,-3.664176,-.8402103,-.2631535,-2.023625,-.8693851,103
cymbal,-2.631809,-1.017489,-.1657336,-1.809988,-1.640889,111
lethal,-.7158286,-1.011221,-.2465617,-.3400953,-1.909003,140
scald,-2.699236,-1.525347,1.29459,-2.331425,.806563,014
residency,-1.092413,.297961,-.1147114,-1.484846,-.8010399,343
prior,.8862217,-1.584538,-.098243,1.053866,-.3625813,043
depiction,-1.692847,-.0317234,-.291242,-2.620299,.1579157,334
bayou,-1.453708,-1.581982,.0347206,-2.410025,-1.966273,030
revealer,-3.548661,-.2171363,.3434635,-3.526083,-.2934059,203
bulgy,-3.63605,-1.156313,1.012418,-2.310311,-2.117083,000
guerrilla,-.7011095,-.0181971,-.3331369,-1.929737,-1.17221,342
cuisine,-1.220778,-.6110275,-.2776248,-3.407022,-1.787961,131
surveillance,-.3858446,1.111349,-.3610445,-.4838253,-1.722721,441
beachhead,-2.437325,-.0731124,-.2882448,-1.92375,-1.039831,322
heckle,-2.972322,-1.241866,.6380742,-.7917061,-.8503564,113
maser,-2.793901,1.335739,-.3323779,-2.673463,-2.029043,010
gallantry,-2.278648,.2479472,.3305549,-.9622198,-.1466079,324
mulishness,-4.83082,-1.084799,10.08358,-1.616565,.6670707,404
jovial,-1.832177,-.6918866,.3572045,-.8301775,-1.879122,130
newsgroup,-3.039576,1.509396,-.1684902,-3.982051,-.5368457,313
seer,-2.300032,-2.234185,5.648415,-1.226426,-.3246405,023
snakeroot,-4.51153,-1.387576,-.0289392,-1.792186,-.0078959,304
krill,-2.239432,1.261026,-.3487349,-4.143275,-2.213473,020
slutty,-3.122991,-.6921563,-.2303949,-2.252095,-.0381187,114
hieroglyphic,-2.7388,1.743057,-.3760188,-.8930579,-.2375336,414
courtyard,-.4683382,.2826295,-.3078296,-.7604949,-1.686005,341
reparation,-2.445926,.1372739,-.1043145,-2.032293,.1304138,424
leukemia,-1.097963,.1438029,-.3166507,-4.286533,-2.052749,240
plainness,-3.040781,-.1642835,11.12313,-2.556219,-.2049838,314
arthritis,-.8471237,.4428041,-.1266085,-2.304491,-1.904723,340
trait,-.4077596,-1.716779,1.508086,-.3400801,-1.588469,041
vodka,-.9365618,-.9994926,-.2661715,-2.064772,-1.936461,040
