Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,strata
workhouse,-2.44462,-.1825622,-.0928265,-2.080807,224
stonework,-2.797304,.200516,-.3088198,-2.171815,211
orthopedics,-2.964976,4.014465,-.4411769,-4.6112,410
hieroglyphic,-2.7388,1.743057,-.3760188,-.8930579,414
comprise,-.8861808,-.3801658,-.2995329,.8807932,144
harebrain,-4.237655,-.0934725,-.2784251,-.9620176,202
destine,-4.341501,-.8844752,-.0716738,-1.96235,104
devoid,-.9902529,-.9984763,-.2151854,.7123523,041
uncivil,-2.889083,-.3184159,-.2771045,-1.947874,111
ensnare,-3.01896,-.4983065,-.276163,-1.791163,112
ritualized,-2.516678,.7202083,-.314614,-1.338533,322
impaction,-3.57753,1.608712,-.3545048,-2.488558,403
obligatory,-1.386025,1.246759,-.3532613,.0767342,432
galosh,-4.93543,.791744,-.2783483,-3.070961,301
hyperactive,-2.04415,-.3121831,-.2712731,-2.366197,230
redline,-3.74245,1.587408,.2750623,-3.272257,400
accompaniment,-1.279838,2.043846,-.3648209,-1.409575,444
panoramic,-2.043375,.7738736,-.339939,-1.863907,330
absolution,-2.417808,.4797117,-.3044599,-2.201698,323
abode,-1.515731,-1.469816,.7801666,-.4273271,034
longstanding,-1.828585,1.497443,-.3520572,-.3316989,430
ruinous,-2.228711,-.6361851,-.2508991,-.1112897,123
thane,-3.202929,-.9333014,-.259305,-.8782479,014
brooder,-3.489897,-.9833333,-.2407939,-3.803164,001
metabolism,-.7732687,1.144577,-.342443,-2.036967,442
convergence,-1.288518,.7449841,-.3033762,-1.035664,344
granular,-2.021624,.1072732,-.3033252,-1.629979,232
mattock,-3.224689,-.9574495,-.2581186,-.8851716,012
disembody,-4.81629,.8877684,-.3207311,-5.003735,300
paddy,-1.791043,-1.574843,1.65867,-1.561493,033
afflict,-2.394702,-.6169189,-.2793455,-.2908282,122
embraceable,-4.095845,-.6729271,-.0139751,-3.348733,100
backfield,-2.549229,-.8467472,-.0816533,-1.130528,121
entrepreneur,-.7251231,1.827319,-.4048537,-1.0688,440
conceit,-1.952674,-.8858663,.1753014,-1.101765,134
minesweeping,-4.367879,-.6440303,-.2455313,-2.163806,103
postponement,-2.155809,1.349654,-.3534668,-1.445904,423
adversity,-1.406675,.4025002,-.3141083,-.7494013,333
disused,-2.356118,.6506485,-.3045292,-.700697,320
nix,-2.291136,-2.016362,3.738031,-1.199344,023
figural,-2.631587,.0197725,-.296624,-4.338099,221
codebook,-3.736362,-1.861369,11.84046,-4.030724,004
preindustrial,-2.549902,-1.656923,.7929824,-3.878937,021
foreboding,-1.735762,.4453636,-.3116672,-.8687519,334
rotisserie,-2.858308,.7906576,-.3308757,-2.913488,312
magnitude,.1153508,.215684,-.3211596,-.5986468,244
lockout,-1.887157,-.7428421,.5899849,-3.79588,130
claxon,-5.040347,.1670213,-.2042674,-4.07845,200
phaeton,-3.998108,.3247118,-.1984265,-2.051164,303
keystroke,-2.520687,-1.953814,.0064649,-4.218234,020
abolitionism,-3.134057,.4863923,-.3063663,-2.804561,311
electron,-.0938425,.0135917,-.1033914,-3.066314,241
barrenness,-2.457647,-.2779942,-.2644622,-.9037806,223
enshrine,-2.953684,-.3638816,-.2935799,-1.361728,113
disintegrate,-1.555872,1.54227,-.354963,.418044,434
notorious,-.5520119,.3100525,-.3133648,.5071394,341
crematorium,-2.703507,1.499041,-.34602,-3.166403,412
supertanker,-2.928099,-1.952957,-.2344541,-5.073215,011
deteriorate,-1.399862,1.075722,-.3456765,.4979494,433
polygonal,-3.277202,.4218008,-.3266605,-2.475497,310
governance,-1.288636,.4536801,-.3244103,-2.238268,343
cygnet,-4.638084,1.021003,-.312535,-2.024513,402
zoological,-2.4472,2.01581,.2800482,-2.069103,422
enact,-1.038878,-1.206542,-.0402643,-.5488582,043
chancy,-2.560173,-1.048077,.0426673,-.6975076,022
inbound,-2.574141,-.5426026,.3658882,-2.533559,120
psychopathic,-2.483304,1.382688,-.3463847,-1.573899,420
gavotte,-3.623658,-1.213163,.4429152,-3.666078,002
stanza,-1.801755,-.7908351,-.2779683,-2.973379,131
crudeness,-2.968701,.2465564,1.557495,-2.14989,313
nocturne,-4.089741,-.2898206,-.2794816,-2.563823,201
cancan,-3.413069,-.6897336,-.2518428,-3.036974,101
boldface,-2.554412,-.0355677,-.2925412,-2.835283,222
dramatist,-2.346409,.4647618,-.3116826,-2.130978,321
recall,1.00944,-1.115999,-.2400701,.6534647,044
unforeseen,-1.571418,.7597094,-.3299104,.9110076,331
remnant,-1.410735,-.5332583,.3500242,-.4998911,133
postmortem,-2.338222,1.196366,-.3340952,-.7709419,424
underfunded,-2.442162,-.3889437,4.25295,-1.9864,124
caster,-2.130987,-1.259593,4.778552,-4.353992,024
vending,-1.360916,-.8983846,5.091518,-1.58126,143
functionary,-2.838962,-.267801,-.2826915,-1.584657,210
abduction,-1.453298,-.025173,-.2872326,-2.016819,233
fatback,-3.231262,-.9017645,-.2122777,-4.007723,110
prequel,-3.312466,2.275775,-.3488205,-3.808692,411
authoritative,-.8940502,1.751069,-.3824203,.6190205,443
surly,-1.929173,-1.482449,1.899516,-.998442,031
unpublished,-1.614024,.9028472,-.334024,-1.485314,431
southpaw,-2.909732,-.2837898,-.2794479,-3.333137,212
mentor,-.9073382,-.8547809,-.243597,-1.350363,142
americanize,-5.21788,-.7312469,-.2383733,-3.26632,102
fictionalize,-3.94046,1.389846,-.3236052,-4.02214,401
ultrasound,-1.356366,-.0756166,-.2970058,-2.945212,242
astrologist,-4.730818,.4118987,.3213579,-2.109703,302
tromp,-2.719835,-.8442711,-.2472104,-1.730681,114
untwine,-4.375839,-1.737207,2.037669,-.8828214,003
evaluator,-2.43153,2.772145,-.4016768,-1.91531,421
broadside,-1.78019,.0435975,-.3118608,-.5220869,234
inflow,-2.060663,-.8043038,-.2849861,-1.218986,132
rigorous,-.6418832,-.3023067,.336535,.7060387,243
proficient,-1.082106,.3850667,-.3168095,.283861,342
radioactive,-.3762893,1.474968,-.3509882,-2.601972,441
scrambler,-3.125469,.2142815,.9807746,-4.255545,213
bridegroom,-2.032236,.7128218,-.3386791,-1.363295,332
theorist,-1.58142,-.2074973,-.2997648,-1.591036,231
crux,-1.754247,-1.574277,.3491248,-1.65913,032
felony,-.9848634,-.7079604,.3623942,-2.602475,141
wallflower,-2.753184,.2477943,-.2992668,-3.704283,314
godsend,-2.168493,-.2306775,-.2772053,-.7832661,220
gowned,-3.381975,-1.42763,.6251734,-1.608513,013
exoneration,-3.071542,1.094481,-.3227896,-2.161291,413
headmastership,-5.097623,-.991967,1.003863,-4.682449,000
hoaxer,-4.505075,-.0055521,-.2672679,-2.44518,204
overmatch,-4.58793,.5780413,-.3091956,-2.490024,304
manful,-4.693617,.0712505,-.2724619,-3.28642,203
antiperspirant,-3.186019,-1.191142,1.290852,-4.443941,010
coarseness,-2.960999,-.0139281,.3485742,-.0725795,214
pesticide,-1.279696,.3955593,-.3110814,-3.056526,340
determinate,-2.548636,.6892488,-.31978,-1.723933,324
asset,-.1178699,-1.477954,.1407189,-1.134073,042
aghast,-2.01933,-.9567757,-.2291831,-.7288215,030
taxable,-1.138188,-.2843887,-.1031799,-2.434093,240
neutron,-1.332226,-.4875993,-.2854244,-3.710171,140
featherhead,-4.876633,3.013847,-.3932786,-3.74465,404
