Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
irk,-3.12974,-2.254313,1.213759,-2.46514,-1.97199,000
gorger,-4.825099,1.500953,-.3137805,-1.21735,-1.258741,001
rove,-4.439776,-2.142646,9.071621,-1.944162,.3684151,002
clef,-2.821361,-1.661215,.2205927,-3.691706,-1.83987,010
embed,-2.492511,-1.156186,.1303765,-2.881288,-1.087569,011
refuel,-2.115402,-.5251384,-.2748876,-2.376538,-.4848295,012
dorm,-1.164425,-1.735401,3.105673,-1.159373,-1.669796,020
tundra,-.6451719,-.7257902,-.2824814,-2.728155,-1.540333,021
astray,-1.42344,-1.102161,-.0774893,.2815573,-.4186238,022
clubfoot,-3.003086,.0570749,-.278982,-3.558964,-1.75167,100
whicker,-4.411332,-1.625733,.5066274,-3.104719,-1.15466,101
windage,-3.162667,-.2942787,-.2506394,-2.241,.1418827,102
latrine,-2.439425,-.5837432,-.2619799,-2.709355,-1.897987,110
pitiless,-2.503541,-.1163073,-.2826003,-1.405812,-1.296486,111
nightcap,-2.276106,-.2671165,-.2849239,-1.326458,-.2699072,112
overview,-.9295782,1.15722,-.3429945,-.8877018,-1.731149,120
stamina,-1.265012,-.4338489,-.2802096,-1.110036,-.7736886,121
domestic,.9485274,-.0030624,-.3115403,.4609247,.7087957,122
unprompted,-3.685709,.9938698,-.3074197,-3.105607,-2.200564,200
foodstuff,-3.091761,.3032621,-.3279779,-.4555501,-1.362506,201
gentlemanlike,-4.248232,.0061289,-.2712088,-3.806436,-.4468092,202
bronchitis,-1.806667,.853066,-.1408539,-2.870198,-1.95482,210
unscheduled,-2.277165,-1.211807,-.24541,-.3509436,-1.344851,211
mystified,-2.08373,.2291478,.3568305,-1.0786,-.6934552,212
notorious,-.5520119,.3100525,-.3133648,.5071394,-1.714404,220
effectively,.6323962,.9054399,-.3293289,1.423086,-1.003068,221
counseling,.0953452,.1059232,-.2666838,-.4911005,-.6866132,222
