Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata5
cuttle,-4.876025,1.187402,-.1314228,-2.489592,-1.879593,100
alp,-4.518174,1.202567,-.3467669,-3.462474,-2.144003,000
tizzy,-2.96436,-1.370304,1.150696,-3.237504,-1.938688,010
fogey,-3.563698,-1.441631,1.829877,-3.186492,-1.86905,001
byway,-2.871675,-1.107132,-.2409232,-1.25816,-1.598674,011
frays,-3.678619,.4047026,-.108785,-2.965133,-.8704317,003
poi,-3.692138,-1.692461,2.838795,-2.193386,-1.260553,002
swash,-3.217652,-1.710557,2.451084,-1.79766,.7486467,014
aka,-4.129117,-1.558927,1.212197,-1.422893,-.0615163,004
pager,-2.26422,-.8840821,-.2593815,-2.805431,-1.864514,021
groggy,-2.112715,-.9713601,.4018805,-2.840802,-2.04621,120
raspy,-2.464837,1.219333,6.6913,-1.415718,-2.171924,020
emery,-1.854619,-1.097915,.1384476,-1.328066,-1.894388,030
buyout,-2.126564,-.8715165,.3597477,-3.033902,-1.733574,121
awash,-2.169522,-1.440218,.6370969,-2.1367,-1.407689,022
cudgel,-2.763105,2.295949,.2468423,-1.461074,-.8669112,113
lewd,-1.778887,-2.106432,1.462922,-.8669116,-.8040463,033
manse,-2.715106,-1.359627,.5834753,-2.429807,-1.098308,012
gamer,-2.666688,-1.988686,2.702823,-2.272746,-.7381033,013
rabbet,-2.672261,-.9116851,1.070847,-1.997001,-.0264224,114
blip,-2.044947,-1.746836,1.711531,-2.133247,-.429996,023
fob,-2.480075,.6000924,-.3161028,-1.547976,.2409794,024
vodka,-.9365618,-.9994926,-.2661715,-2.064772,-1.936461,040
metro,-1.190952,-1.200849,-.0470775,-2.452362,-1.875093,031
serum,-.6051376,-1.294631,.1914781,-2.445632,-1.113349,042
veal,-1.311277,-2.072897,7.551754,-2.316208,-1.193285,032
axle,-.9487054,-1.548827,-.039761,-1.851999,-1.508259,041
shrewd,-1.066306,-1.41795,.5244219,.5250462,-.9404956,142
ample,-.3027582,-1.456191,.7825721,1.264628,-.6585374,043
barren,-.6638644,-1.249533,1.23497,.1127428,.390505,144
cleft,-1.482523,-1.425737,.5756536,-.530127,.5145556,034
ballad,-1.105396,-1.165039,-.0066346,-2.473164,-.6109366,143
devour,-1.417629,-1.040124,.552866,.0264236,.1453242,134
rally,-.1354383,-1.622038,4.147496,-.6845033,1.652469,044
quencher,-3.739646,-1.061309,-.240466,-3.822923,-1.86016,201
outrange,-4.832778,2.753754,-.3994594,-2.208544,-2.106484,200
uncivil,-2.889083,-.3184159,-.2771045,-1.947874,-1.787939,111
stockpot,-3.251783,-.1086555,-.2835282,-3.668359,-2.083003,210
forsooth,-4.083104,-.484721,-.2869915,-3.418513,-1.444309,202
comedic,-2.88117,1.245816,-.325794,-2.743777,-.9500843,112
uncloak,-4.653234,-1.019519,-.0589836,-4.331474,-1.633175,101
sapiens,-3.559335,-.7717414,1.040969,-1.767346,-1.274029,102
houseboy,-3.205326,-.4459755,-.2505573,-1.923374,-.9443096,212
unbilled,-4.60544,-.3603279,-.255845,-2.31495,.3969545,204
frazzle,-3.560941,-.9099248,.403922,-1.458098,-.1430255,104
earldom,-3.446409,-.6484857,-.2777787,-2.858272,-.5678114,103
chessman,-4.527078,-1.313535,9.189358,-2.32442,-.389579,203
lockout,-1.887157,-.7428421,.5899849,-3.79588,-1.951625,130
avoidant,-2.604175,-.4973511,-.2768275,-4.021328,-2.055999,220
coauthor,-2.045382,-.1889924,-.3131793,-2.680583,-1.797861,221
cherubic,-2.832647,-.6211534,-.0786251,-2.676167,-1.69123,211
miserly,-2.624717,1.657976,-.1779486,-.6367104,-2.113466,110
shifter,-2.441332,-.594176,-.2634166,-4.119453,-1.194691,122
foursome,-2.399377,-.6066418,-.1910213,-2.988142,-1.035784,222
jackass,-1.88715,-.6401939,-.0757397,-2.366946,-.9628292,132
quilted,-2.125451,-.4871067,.1133917,-1.791275,-.8167778,123
concoct,-2.384292,-.3997063,-.2805747,-1.818848,-.2641497,124
chancery,-2.803012,-.4283952,-.2738278,-2.385636,-.4285534,213
forehand,-2.334336,-.2595518,-.0923613,-1.88214,-.5518765,223
westerly,-2.073354,-.0807645,-.2889672,-1.005299,.4353661,224
foulness,-2.776858,-1.622781,.6444084,-1.345448,-.0286697,214
sporadic,-1.251514,.2112729,-.304411,.1644824,-1.901783,230
dioxide,-.2438726,-.1293111,-.2949578,-2.469425,-1.881869,140
investor,-.6046029,-.1942369,-.0831001,-2.43812,-1.708236,241
hydrogen,.2992852,.386325,-.3200897,-2.292122,-1.950068,240
disprove,-1.589314,-.2743714,-.2683568,-.111495,-1.629479,231
calcium,-.114026,-.3791594,-.2882606,-2.079561,-1.541639,141
entirety,-1.24152,.1757444,-.1238614,-.636166,-1.368236,232
scarcity,-1.107326,.0789175,-.3044222,-.643734,-1.362775,242
coroner,-1.183774,-.7081231,-.0372747,-2.344637,-1.562919,131
