Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata5
nada,-5.1045651,1.1974192,-0.34402692,-3.2919035,-2.2123106,111
dib,-4.6812725,-0.12568565,-0.22822952,-4.4475904,-1.4946952,112
bonbon,-3.5100746,-0.73069674,-0.25729743,-4.3875489,-1.9297029,211
luau,-3.0822175,-1.4931169,2.162086,-3.9100626,-1.7643996,121
drat,-3.9903493,-1.7899776,3.3845472,-1.8047297,-0.09399724,113
dodger,-3.9265628,-1.3308705,1.6853464,-1.3808492,-0.5506385,213
scuff,-2.4976676,-1.669358,2.4439304,-2.6786265,0.59426385,224
wiz,-3.8784792,-2.1629949,0.8552534,-1.0994142,1.8733065,115
ruckus,-2.0070937,-1.0330371,-0.23225172,-2.9030516,-1.7631323,221
bio,-1.6920341,0.09552417,-0.30548078,-2.5351768,-1.8583902,131
pubic,-1.4851147,-0.99214286,1.1910065,-1.7176781,-1.897916,231
foxy,-2.1666644,-1.3712952,1.4569972,-0.78596318,-1.5123005,122
shag,-1.8460257,-2.113692,3.6923885,-1.5837346,0.60272151,124
wiper,-2.1030622,-1.4157435,4.2364783,-1.5042048,-0.1277774,223
chunk,-0.58330959,-1.6563381,1.3299341,-0.0047502681,-0.055359133,233
awed,-1.6494551,-2.121876,2.2761009,-0.45054454,-0.79390574,132
lisp,-1.8959626,-1.7594811,2.2711742,-1.8695971,-0.099473819,123
verse,-0.046116207,-1.860183,3.2992554,-1.3950645,0.69307554,244
tryout,-1.9456291,-0.71820211,-0.24852116,-2.288398,-0.96304911,222
myth,0.2656329,-1.9369164,1.3904707,-0.62452126,-0.83496863,142
lone,-0.14790614,-2.2810261,9.3114681,0.12684074,-0.11967405,143
grit,-1.2802161,-1.8893386,4.4801712,-1.0851901,0.44929099,133
leaded,-2.209228,-1.4023226,3.0319567,-1.9492984,1.9178338,225
ram,-0.22569649,-2.4045558,11.732622,-2.2053266,1.4597228,134
slack,-0.509381,-1.8217174,4.6254816,0.31042814,2.2097182,235
rig,-0.58126122,-2.2698748,9.6672087,-1.7056059,1.7104558,135
muzzle,-0.77409822,-1.3911769,1.9351883,-1.5826805,1.0411632,234
lack,1.4622465,-2.2176342,8.9974976,1.0659962,-0.16334116,153
prime,1.0290787,-1.7529281,3.1914895,0.090865836,2.0618992,245
file,1.3833185,-2.1580195,8.5094242,-1.4033445,1.700017,145
fund,0.93670869,-1.8431176,2.0820889,-0.73546779,1.2516875,144
effect,2.0398235,-1.1096004,0.43723097,1.3378839,1.3619056,254
sex,1.6324849,-2.1450541,4.9484425,-0.42173192,1.0197576,154
switchblade,-2.997149,0.8274799,-0.32186714,-3.9266605,-2.1032031,421
keepsake,-2.4163668,-0.17664112,-0.29628426,-0.83811253,-1.8338065,321
blowfish,-4.2663393,-0.322997,-0.24954224,-0.91280115,-1.6396874,312
boysenberry,-3.5732992,-0.79278904,0.36820945,-4.1153793,-1.0934488,412
kryptonite,-3.9320078,4.267828,-0.26587492,-2.5403023,-2.6654866,311
shuteye,-3.9395571,-0.48471293,1.642715,-2.7541592,-1.3715349,212
scrabble,-3.9613602,-0.61011863,0.54680711,-1.0904498,0.1495837,313
prosper,-1.0737543,-0.83194607,0.11373611,0.090501793,-1.5335726,232
loudspeaker,-1.5675316,1.091135,-0.34947366,-1.6443903,-2.0286148,431
expertise,-0.085729696,0.47387615,-0.32854185,-0.066869743,-1.7414783,341
undefeated,-1.7025645,-1.4050709,-0.049318854,-2.5008864,-1.9733378,331
colonel,-0.078754395,-1.0136954,-0.15600163,-1.5533359,-1.6769166,242
unnecessary,0.10204609,1.5132313,-0.37479991,1.4629815,-1.8682286,441
ongoing,-0.12269576,-0.35248339,0.3372117,0.10211795,-1.9071972,241
corridor,0.056337271,-0.41181725,-0.27551854,-1.0488373,-1.0305033,342
sophomore,-0.80663687,0.28485608,-0.32446748,-0.49375361,-1.168607,332
mastermind,-1.8410468,0.82691973,-0.3231127,-0.63860559,-0.61432427,322
tabernacle,-1.9897389,0.8930887,-0.34594437,-2.4770463,-0.4957917,323
restless,-0.36308134,-0.3342196,0.35250938,0.2928746,0.096043855,333
enthusiasm,0.28890073,1.1823099,-0.17565857,0.77117223,-0.56534827,343
stampede,-1.4171029,-0.40445286,-0.27829367,-0.20985883,0.84601611,334
passive,-0.087138705,-0.92634308,0.37525222,0.40417224,0.49274331,243
coincidence,-0.28095341,0.89769024,-0.29940581,0.46930903,-0.43494025,433
dissolve,-0.30959654,-0.50786769,-0.27340069,-0.13005546,1.7194695,335
indifferent,-0.6827172,0.73732305,-0.30444729,1.0661259,1.0135472,434
opportunity,1.698724,1.2939013,-0.364483,0.84469062,-1.3576223,452
percent,1.927255,-0.56349963,-0.24360833,0.19851522,-1.4952254,252
significant,1.4727844,1.3662976,-0.33841279,1.3071297,-0.18400092,453
institution,0.78692377,0.69905263,-0.32503629,-0.40759438,0.77169842,444
foreign,1.8262569,-0.94183558,-0.179536,0.81099737,0.31682971,253
formation,0.53600228,-0.053719897,-0.29890478,0.58940905,0.876499,344
computer,1.748336,-0.13807602,0.28041649,-1.3230543,-0.36632586,353
